tcpdump -n -i eth0
17:06:18.306967 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26945680:26945892, ack 15337, win 501, options [nop,nop,TS val 3769979136 ecr 827633594], length 212
17:06:18.329906 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27009428:27009640, ack 15373, win 501, options [nop,nop,TS val 3769979159 ecr 827633613], length 212
17:06:18.329943 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27009640:27009852, ack 15373, win 501, options [nop,nop,TS val 3769979159 ecr 827633613], length 212
17:06:18.329983 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27009852:27010064, ack 15373, win 501, options [nop,nop,TS val 3769979159 ecr 827633613], length 212
17:06:18.330020 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27010064:27010276, ack 15373, win 501, options [nop,nop,TS val 3769979159 ecr 827633613], length 212
17:06:18.330060 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27010276:27010488, ack 15373, win 501, options [nop,nop,TS val 3769979159 ecr 827633613], length 212
17:06:18.330097 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27010488:27010700, ack 15373, win 501, options [nop,nop,TS val 3769979159 ecr 827633613], length 212
17:06:18.330137 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27010700:27010912, ack 15373, win 501, options [nop,nop,TS val 3769979159 ecr 827633613], length 212
17:06:18.330174 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27010912:27011124, ack 15373, win 501, options [nop,nop,TS val 3769979159 ecr 827633613], length 212
17:06:18.330224 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27011124:27011336, ack 15373, win 501, options [nop,nop,TS val 3769979159 ecr 827633613], length 212
17:06:18.330286 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27011336:27011548, ack 15373, win 501, options [nop,nop,TS val 3769979159 ecr 827633613], length 212
17:06:18.330339 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27011548:27011760, ack 15373, win 501, options [nop,nop,TS val 3769979159 ecr 827633613], length 212
17:06:18.330378 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27011760:27011972, ack 15373, win 501, options [nop,nop,TS val 3769979159 ecr 827633613], length 212
17:06:18.330416 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27011972:27012184, ack 15373, win 501, options [nop,nop,TS val 3769979159 ecr 827633613], length 212
17:06:18.330455 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27012184:27012396, ack 15373, win 501, options [nop,nop,TS val 3769979159 ecr 827633613], length 212
17:06:18.330493 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27012396:27012608, ack 15373, win 501, options [nop,nop,TS val 3769979159 ecr 827633613], length 212
17:06:18.330533 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27012608:27012820, ack 15373, win 501, options [nop,nop,TS val 3769979159 ecr 827633613], length 212
17:06:18.330572 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27012820:27013032, ack 15373, win 501, options [nop,nop,TS val 3769979160 ecr 827633613], length 212
17:06:18.330609 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27013032:27013244, ack 15373, win 501, options [nop,nop,TS val 3769979160 ecr 827633613], length 212
17:06:18.330648 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27013244:27013456, ack 15373, win 501, options [nop,nop,TS val 3769979160 ecr 827633613], length 212
17:06:18.330688 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27013456:27013668, ack 15373, win 501, options [nop,nop,TS val 3769979160 ecr 827633613], length 212
17:06:18.330727 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27013668:27013880, ack 15373, win 501, options [nop,nop,TS val 3769979160 ecr 827633613], length 212
17:06:18.330764 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27013880:27014092, ack 15373, win 501, options [nop,nop,TS val 3769979160 ecr 827633613], length 212
17:06:18.330803 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27014092:27014304, ack 15373, win 501, options [nop,nop,TS val 3769979160 ecr 827633613], length 212
17:06:18.330842 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27014304:27014516, ack 15373, win 501, options [nop,nop,TS val 3769979160 ecr 827633613], length 212
17:06:18.330882 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27014516:27014728, ack 15373, win 501, options [nop,nop,TS val 3769979160 ecr 827633613], length 212
17:06:18.330918 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27014728:27014940, ack 15373, win 501, options [nop,nop,TS val 3769979160 ecr 827633613], length 212
17:06:18.330957 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27014940:27015152, ack 15373, win 501, options [nop,nop,TS val 3769979160 ecr 827633613], length 212
17:06:18.331001 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27015152:27015364, ack 15373, win 501, options [nop,nop,TS val 3769979160 ecr 827633613], length 212
17:06:18.331038 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27015364:27015576, ack 15373, win 501, options [nop,nop,TS val 3769979160 ecr 827633613], length 212
17:06:18.331075 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27015576:27015788, ack 15373, win 501, options [nop,nop,TS val 3769979160 ecr 827633613], length 212
17:06:18.331115 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27015788:27016000, ack 15373, win 501, options [nop,nop,TS val 3769979160 ecr 827633613], length 212
17:06:18.331157 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27016000:27016212, ack 15373, win 501, options [nop,nop,TS val 3769979160 ecr 827633613], length 212
17:06:18.331205 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27016212:27016424, ack 15373, win 501, options [nop,nop,TS val 3769979160 ecr 827633613], length 212
17:06:18.331245 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27016424:27016636, ack 15373, win 501, options [nop,nop,TS val 3769979160 ecr 827633613], length 212
17:06:18.331282 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27016636:27016848, ack 15373, win 501, options [nop,nop,TS val 3769979160 ecr 827633613], length 212
17:06:18.331323 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27016848:27017060, ack 15373, win 501, options [nop,nop,TS val 3769979160 ecr 827633613], length 212
17:06:18.331361 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27017060:27017272, ack 15373, win 501, options [nop,nop,TS val 3769979160 ecr 827633613], length 212
17:06:18.331587 IP 99.230.36.4.54786 > 68.183.205.32.22: Flags [P.], seq 15373:15409, ack 26615812, win 37094, options [nop,nop,TS val 827633620 ecr 3769979010], length 36
17:06:18.331605 IP 99.230.36.4.54786 > 68.183.205.32.22: Flags [.], ack 26628532, win 37094, options [nop,nop,TS val 827633623 ecr 3769979012], length 0
17:06:18.331648 IP 99.230.36.4.54786 > 68.183.205.32.22: Flags [.], ack 26642024, win 37094, options [nop,nop,TS val 827633627 ecr 3769979014], length 0
^C
128104 packets captured
128115 packets received by filter
10 packets dropped by kernel
